created_date,assignee_email,assignee_team,technology,ips_id,ips_title,predicted_category_existing,predicted_category_model,confidence,human_category,label_notes
2017-10-24,,wifi,WiFi,00201239,[Lenovo-ThinkPad X260][LCFC-HF][Win10][Customer complain issue] WV3 WiFi Roaming Issue when using Intel WiFi v19.71.1 driver,,Roaming,,,[補標目標: Roaming]
2025-10-10,,wifi,WiFi,00981162,"[Honor][LuxsharePC][ZhuqueC][DVT][24H2 ]2.4GHz and 5GHz band switching roaming, 5G reconnect failure. F/R: 1/1u,3/50C",,Roaming,,,[補標目標: Roaming]
2025-12-16,,wifi,WiFi,00991950,[Dell][Arches MTL]Roaming issues between Cisco APs as they get stuck with APIPA Address,,Roaming,,,[補標目標: Roaming]
2025-08-22,,wifi,WiFi,00973252,[DELL][RPL][AX211] field issue that customer has roaming issue with CISCO AP(Japan),,Roaming,,,[補標目標: Roaming]
2018-03-21,,wifi,WiFi,00224197,"[Lenovo-IdeaPad][Inhouse][KBL-R][Yoga930] Put system enter to Modern standby, roams AP, let system out of Moden standby, 9260 can not connect AP",,Roaming,,,[補標目標: Roaming]
2022-02-11,,wifi,WiFi,00682565,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.,,Roaming,,,[補標目標: Roaming]
2024-07-24,,wifi,WiFi,00898286,AX201 roaming feature issue debug,,Roaming,,,[補標目標: Roaming]
2023-11-05,,wifi,WiFi,00841665,[Honor][huaqin][BornF][ADL][AX201]Roaming causes disconnection,,Roaming,,,[補標目標: Roaming]
2019-08-19,,wifi,WiFi,00457737,"After roaming, ping becomes timeout",,Roaming,,,[補標目標: Roaming]
2023-10-22,,wifi,WiFi,00838695,[lenovo][lcfc][X13 Gen5][MTL][AX211/BE200][22H2][67%]Not connect to 5G when roaming,,Roaming,,,[補標目標: Roaming]
2020-10-26,,wifi,WiFi,00554949,"[Huawei][Foxconn][PanguB][AX201][19041.208]DUT users miracast to wirelessly cast the TV ( xiaomi L55M5-AZ), the screen will be torn and stuck playing video.",,Miracast,,,[補標目標: Miracast]
2024-04-29,,wifi,WiFi,00879845,[Samsung][RPL][AX211] Miracast connecting with samsung TV failed continuously 2-3 times in a row.,,Miracast,,,[補標目標: Miracast]
2020-11-02,,wifi,WiFi,00556626,"[Huawei][Foxconn][PanguB][AX201][19041.208]DUT is connected to the display screen wirelessly through miracast device( honor TV box pro), it took more than 6seconds form the start of connecting miracast device to the successful connection and display",,Miracast,,,[補標目標: Miracast]
2024-03-07,,wifi,WiFi,00867471,[Samsung][RPL][AX211]Miracast connection with samsung TV fails sometimes.,,Miracast,,,[補標目標: Miracast]
2023-11-02,,wifi,WiFi,00841208,Dell][Compal]OasisMTL_SUT show couldn't connect monitor via miracast.,,Miracast,,,[補標目標: Miracast]
2018-03-07,,wifi,WiFi,00221801,[Lenovo-DT][Wirstron][Legion C730][Coffee Lake KBL-R] ][8265] Wireless Display and mobile hotspot can't open at same time,,Miracast,,,[補標目標: Miracast]
2025-01-16,,wifi,WiFi,00934386,[HP][IEC][Machu][Win11 24H2][ARL U][GfP2][SIO2346679]SW/HW drip did not greater than 50% after connected to Miracast then do MSC(Point:Intel(R) Wi-Fi 6E AX211.,,Miracast,,,[補標目標: Miracast]
2025-02-25,,wifi,WiFi,00940667,"[Lenovo_ThinkPad][LCFC][RPL_R][KunLun1.0 RPL-R][24H2][SIT] The external monitor disconnected after play back online video overnight after connect monitor via WIDI adapter.(FR:2/2units, 2/2trails)",,Miracast,,,[補標目標: Miracast]
2020-09-15,,wifi,WiFi,00545509,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H1] Playing audio with miracast will be intermittent.,,Miracast,,,[補標目標: Miracast]
2019-11-25,,wifi,WiFi,00478561,[Lenovo_Ideapad][Compal][S550-14][IIL][AX201/9560][19H2] DUT(AX201) didn?t find SUT(9560) in 'wireless display and audio device' list (AP connected on SUT(9560) ),,Miracast,,,[補標目標: Miracast]
2020-06-12,,wifi,WiFi,00522327,"[Xiaomi][WT][A8][AML][AX200][19H2] ""Connect to a wireless display"" option lost after boot to desktop.(FR:1/20 Cycles)",,Miracast,,,[補標目標: Miracast]
2019-09-28,,wifi,WiFi,00466479,[Lenovo ThankPad][DJ2.0 E490] 19H2: Video on the machine and on the external monitor using Miracast is lagging on extended and duplicate mode only.,,Miracast,,,[補標目標: Miracast]
2017-04-12,,wifi,WiFi,00172004,[HP/SIO1419536][Jolie][KBL/8265/WIN10] WoWLAN on S5 get failed if wait for 30 minutes to wake.,,WowLAN,,,[補標目標: WowLAN]
2020-09-24,,wifi,WiFi,00547804,[Samsung][TGL][Cosmos-13] System doesn't wake up by magic packet durint it stay in sleep.,,WowLAN,,,[補標目標: WowLAN]
2023-09-25,,wifi,WiFi,00832965,[ASUS][Edimax][Windows][BE200][EW-7122PBE]WoWlan not work,,WowLAN,,,[補標目標: WowLAN]
2025-01-20,,wifi,WiFi,00934789,[Lenovo][Foxconn][ThinkStation Cathaya P5 Gen2][Granite Rapids][BE200][Win11] WOL tool can not wake up UUT from S3 via BE200 WIFI card with Hybrid sleep disabe,,WowLAN,,,[補標目標: WowLAN]
2018-01-14,,wifi,WiFi,00213782,"[HP/SIO1536831][Mandolin][9560/W10]Error""Failed to establish connection to the server.""occur When run WinPVT9.0E_WOWLAN from S4 . ?",,WowLAN,,,[補標目標: WowLAN]
2020-06-15,,wifi,WiFi,00522940,"[HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX201][20H1] Test WOL function fail and system lost ""power management"" option to check DM with AX201 wireless lan.",,WowLAN,,,[補標目標: WowLAN]
2019-06-25,,wifi,WiFi,00445779,[Dynabook][Win10] target PC cannot be woken up from Hibernation/sleep by a magic packet,,WowLAN,,,[補標目標: WowLAN]
2024-12-16,,wifi,WiFi,00928937,[Lenovo][Foxconn][ThinkStation Cathaya P5 Gen2][Granite Rapids][BE200][Win11]There is new Microsoft Windows 11 algorithm driver design limitation with power management Hibernate WoWLAN.  Suggest to close this issue.,,WowLAN,,,[補標目標: WowLAN]
2025-03-18,,wifi,WiFi,00944638,[HP] The WoWLAN support behavior,,WowLAN,,,[補標目標: WowLAN]
2025-03-18,,wifi,WiFi,00944638,[HP] The WoWLAN support behavior,,WowLAN,,,[補標目標: WowLAN]
2017-05-18,,wifi,WiFi,00177494,[Lenovo_ThinkPad][Graf EVO][LCFC][HF][RS2]Graf-EVO:WoWLAN fails to wake using Magic Packet and Pattern match,,WowLAN,,,[補標目標: WowLAN]
2021-06-29,,wifi,WiFi,00625850,[ASUS MB][ADL-S][GfP2 2230 22.55.0.1 ]AX211 WOL Fail Issue,,WowLAN,,,[補標目標: WowLAN]
2021-08-16,,wifi,WiFi,00638017,[Lenovo AIO][RF][Tianjiao AIO-16ITL K12 (GOA30)][ITL i5-1155G7][Intel AX201NGW #MM:999TD0][Windows 11 21H2][100%] The time delay more than 50ms,,Performance,,,[補標目標: Performance]
2022-03-02,,wifi,WiFi,00687277,"[Lenovo][ADL][S570-16IAH7][AX211]AX211 Wlan Module AC mode Channel 64 Air throughput test fail in low attenuation(58dB/76dB) ,test failed driver version is 22.120.0.3.",,Performance,,,[補標目標: Performance]
2017-12-04,,wifi,WiFi,00207901,[Lenovo-Ideapad][LCFC-HF][330-15/17ICH]Intel3165 11ac/11n conductive throughput test fail,,Performance,,,[補標目標: Performance]
2020-07-01,,wifi,WiFi,00526986,[TyphoonPeak2][AX210] Low throughput in 2GHz 11ax HT40 Rx and Tx when channel is set to 6,,Performance,,,[補標目標: Performance]
2022-10-18,,bt,BT,00746090,ECR615163[ITT:189236] [Lenovo RPL-S B660][SIT]Bluetooth LANs accept and send at speed below 1.0Mbps with Intel AX201 and AX211.,,Performance,,,[補標目標: Performance]
